budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Horror,Drama,company_freq,google_trend
200000000,95,2021,7.834,103.268,32.0,17.0,6,0,0,0,1,55
18000000,103,2021,6.977,54.411,51.0,47.0,6,1,1,0,1,56
70000000,117,2021,6.692,34.509,109.0,59.0,6,1,0,0,1,55
2000000,109,2021,6.7,27.256,51.0,42.0,6,0,0,0,1,55
6500000,97,2021,6.041,24.866,27.0,25.0,6,0,1,0,0,57
5000000,119,2021,6.138,23.159,51.0,57.0,6,0,0,1,1,57
55000000,143,2021,7.209,18.624,26.0,32.0,6,0,0,1,0,61
205000000,150,2020,7.181,227.614,66.0,36.0,8,1,0,0,1,48
60000000,95,2020,7.49,64.209,66.0,65.0,8,0,0,0,1,49
30000000,95,2020,5.7,38.044,68.0,23.0,8,0,0,1,0,49
18000000,98,2020,6.4,30.415,90.0,62.0,8,1,0,0,0,51
25000000,91,2020,5.9,26.681,122.0,54.0,8,0,0,0,0,51
5000000,102,2020,5.876,19.453,61.0,28.0,8,0,0,1,0,49
50000000,102,2021,7.605,135.31,52.0,58.0,10,1,0,0,1,58
30000000,127,2021,6.845,60.258,57.0,35.0,10,1,0,0,0,65
20000000,105,2021,6.5,45.962,48.0,47.0,10,1,1,0,1,58
43000000,116,2021,7.34,43.165,58.0,30.0,10,0,1,0,1,62
17000000,99,2021,6.25,42.551,56.0,28.0,10,1,1,1,1,65
100000000,153,2021,7.445,35.866,98.0,41.0,10,0,0,1,1,58
25000000,108,2021,7.065,31.534,58.0,57.0,10,1,0,1,1,62
5000000,91,2021,6.8,17.388,35.0,60.0,10,0,0,1,0,56
11900000,99,2021,7.476,16.561,48.0,46.0,10,1,0,1,0,58
22000000,113,2020,7.68,95.323,72.0,46.0,1,1,0,0,1,81
90000000,124,2020,7.129,86.009,89.0,49.0,1,1,0,0,1,59
175000000,101,2020,6.621,67.44,82.0,59.0,1,1,0,0,1,81
50000000,95,2020,6.284,34.927,75.0,42.0,1,0,1,0,1,60
18000000,99,2020,6.9,29.478,58.0,38.0,1,0,0,0,1,60
5000000,86,2020,6.189,27.28,27.0,34.0,1,0,0,0,0,62
14000000,94,2020,5.8,27.054,40.0,24.0,1,1,1,0,1,62
5000000,87,2020,5.979,26.582,34.0,30.0,1,1,1,0,1,53
50000000,109,2020,5.5,22.801,32.0,31.0,1,0,0,0,1,53
10530000,128,2020,6.1,21.318,85.0,47.0,1,0,0,1,0,53
29000000,83,2020,6.297,20.821,69.0,48.0,1,0,0,0,1,60
20000000,110,2020,7.378,16.571,41.0,26.0,1,0,0,1,0,62
65000000,95,2020,7.495,78.333,155.0,47.0,11,1,0,0,1,59
5000000,102,2020,6.6,52.212,43.0,35.0,11,1,1,0,1,49
23000000,102,2020,4.9,35.48,155.0,34.0,11,0,0,0,0,52
25000000,132,2020,6.71,30.442,99.0,46.0,11,0,0,1,0,49
1700000,90,2020,7.262,28.294,36.0,42.0,11,1,1,1,0,52
21000000,114,2020,6.824,19.06,114.0,52.0,11,0,0,1,1,43
200000000,125,2022,6.95,136.692,76.0,53.0,10,1,0,0,1,62
250000,138,2022,6.768,81.284,20.0,30.0,10,1,1,0,0,69
50000000,106,2022,7.125,58.267,45.0,31.0,10,1,0,0,1,69
20000000,111,2022,6.135,52.492,48.0,54.0,10,1,1,0,1,67
20000000,114,2022,7.452,27.625,65.0,52.0,10,1,0,1,1,62
20000000,131,2022,7.527,24.834,26.0,44.0,10,0,0,1,0,67
15000000,114,2022,6.534,20.559,194.0,33.0,10,0,0,1,1,60
17000000,115,2022,6.674,65.575,33.0,33.0,9,1,1,0,0,58
50000000,135,2022,7.693,54.726,42.0,42.0,9,1,0,1,0,58
4500000,103,2022,6.89,50.359,52.0,36.0,9,1,1,0,1,65
5000000,88,2022,5.473,49.206,46.0,64.0,9,1,1,0,0,58
1000000,102,2022,7.303,46.662,50.0,38.0,9,1,1,1,1,58
80000000,134,2022,6.061,39.859,96.0,40.0,9,0,0,1,0,64
35000000,123,2022,6.793,37.963,93.0,33.0,9,1,0,1,1,58
23000000,126,2022,7.041,37.635,84.0,55.0,9,0,0,1,0,65
15600000,147,2022,7.097,29.866,33.0,20.0,9,1,0,1,0,58
20000000,104,2022,6.54,28.978,71.0,39.0,9,1,0,1,1,65
22000000,115,2022,6.787,27.401,32.0,44.0,9,0,0,0,1,64
5000000,96,2022,6.0,22.811,46.0,51.0,9,0,0,0,0,60
7000000,100,2022,6.117,19.709,17.0,36.0,9,0,0,0,0,60
4600000,102,2022,6.5,6.607,36.0,64.0,9,0,0,1,0,64
110000000,115,2021,7.511,93.621,109.0,42.0,8,1,0,0,1,58
26000000,86,2021,7.4,75.984,33.0,24.0,8,1,0,0,1,58
10000000,112,2021,7.943,63.563,26.0,45.0,8,0,0,1,0,58
10000000,98,2021,7.1,40.859,45.0,38.0,8,1,1,0,1,58
25000000,91,2021,6.036,28.123,48.0,66.0,8,1,1,0,1,56
68000000,116,2021,6.6,27.373,98.0,48.0,8,0,0,0,1,56
165000000,155,2021,7.791,604.622,120.0,31.0,9,1,0,0,0,51
150000000,132,2021,7.56,100.597,42.0,43.0,9,1,0,0,1,54
200000000,138,2021,7.557,91.049,66.0,51.0,9,0,0,0,0,54
110000000,97,2021,6.805,83.709,84.0,50.0,9,1,0,0,1,56
14000000,99,2021,7.074,76.131,41.0,35.0,9,1,0,1,1,54
301000000,163,2021,7.377,73.798,103.0,44.0,9,1,0,0,1,56
40000000,111,2021,6.803,41.931,58.0,37.0,9,0,1,0,1,54
50000000,120,2021,6.37,41.921,61.0,46.0,9,0,0,1,1,56
33000000,104,2021,5.975,27.807,109.0,53.0,9,0,0,1,0,51
27500000,137,2021,6.305,23.783,66.0,40.0,9,0,0,1,1,56
200000000,148,2021,7.968,257.493,80.0,33.0,12,1,0,0,1,64
85000000,110,2021,7.9,127.536,149.0,47.0,12,1,0,0,1,55
100000000,131,2021,6.768,122.84,63.0,51.0,12,1,0,0,1,78
190000000,147,2021,6.436,69.601,122.0,50.0,12,0,0,0,1,64
75000000,138,2021,7.106,60.072,91.0,52.0,12,0,0,1,0,57
60000000,150,2021,6.996,39.107,61.0,51.0,12,0,0,1,1,55
100000000,156,2021,7.011,27.18,28.0,87.0,12,0,0,1,1,57
20000000,124,2021,6.424,21.016,55.0,39.0,12,0,0,1,1,64
1100000,130,2021,6.749,20.408,25.0,25.0,12,1,0,1,1,57
20000000,100,2021,5.9,20.041,41.0,67.0,12,0,0,0,0,64
