budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Drama,Horror,company_freq,google_trend
2.1389,0.0417,-0.627,1.1687,3.4624,0.5877,-0.3582,-1.1307,1,-0.7589,-0.4822,-1.3213,-1.3392
-0.5579,-1.0211,-0.627,1.6625,0.1701,-0.4652,1.3062,-1.1307,1,-0.7589,-0.4822,-1.3213,-1.2377
0.6652,-0.2965,-0.627,1.5116,0.1456,-0.6075,-0.2858,-1.1307,1,-0.7589,-0.4822,0.755,-0.8315
-0.1453,-0.9728,-0.627,0.4619,0.0909,0.1609,0.2207,-1.1307,1,-0.7589,-0.4822,0.755,-1.3392
-0.5874,0.0417,-0.627,0.0429,-0.0603,-0.4367,-0.2858,-1.1307,0,1.3145,-0.4822,-1.3213,-0.8315
-0.6611,-0.6829,-0.627,-0.2731,-0.4475,0.4739,0.872,-1.1307,1,-0.7589,2.069,0.755,-0.9331
-0.5137,-1.2144,-0.627,-3.8001,-0.53,1.1569,0.7273,-1.1307,0,-0.7589,-0.4822,-1.3213,-1.3392
0.4442,-0.6829,-1.537,0.7582,0.2541,0.2747,0.7273,-1.4149,1,-0.7589,-0.4822,0.755,0.387
0.7978,-0.6346,-1.537,1.0883,0.0108,0.5593,1.0168,-1.4149,1,1.3145,-0.4822,0.755,-0.3238
-0.6611,0.5731,-1.537,0.3406,-0.3096,-0.1522,-0.5753,-1.4149,1,-0.7589,-0.4822,0.755,0.387
2.1389,-0.4897,-1.537,1.2802,-0.321,0.4739,0.2207,-1.4149,0,-0.7589,-0.4822,0.755,-0.9331
-0.5874,-0.8762,-1.537,-0.4819,-0.3736,0.5308,0.0036,-1.4149,0,-0.7589,-0.4822,0.755,-0.9331
-0.7053,-0.1998,-1.537,-1.3763,-0.4652,-0.4367,0.076,-1.4149,1,-0.7589,2.069,0.755,0.387
-0.5727,-0.3448,-1.537,-0.465,-0.5173,-0.9205,-0.5753,-1.4149,1,1.3145,-0.4822,0.755,0.387
-0.7053,0.5248,-1.537,0.4577,-0.5561,-0.8351,-1.1542,-1.4149,1,-0.7589,2.069,0.755,-0.9331
-0.6611,-1.311,-1.537,-1.1901,-0.6236,-0.2091,-0.4306,-1.4149,1,-0.7589,2.069,0.755,-0.3238
-0.7642,-1.0211,-1.537,-0.2731,-0.7001,-1.262,0.7997,-1.4149,1,-0.7589,-0.4822,-1.3213,-0.3238
